ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
05.01.2020,02.01.2020,19,03.01.2020,10,01200628,487,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,10,02.01.2020,12,11400927,814,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,02.01.2020,20,03.01.2020,9,01100416,689,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,02.01.2020,18,03.01.2020,15,03400725,730,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,02.01.2020,11,03.01.2020,17,06400839,369,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,20,02.01.2020,20,06400842,400,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,19,03.01.2020,8,02300419,650,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,02.01.2020,13,02.01.2020,22,01100308,1300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,19,02.01.2020,21,06400842,398,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,13,02.01.2020,14,11200514,999,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,15,02.01.2020,18,07100206,599,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,19,02.01.2020,22,02300314,636,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,17,03.01.2020,6,01200628,639,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,20,03.01.2020,8,03400725,517,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,03.01.2020,20,05.01.2020,15,02500728,608,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
12.01.2020,03.01.2020,20,05.01.2020,15,01300834,371,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,16,04.01.2020,11,05400945,3432,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,03.01.2020,16,05.01.2020,10,07300515,700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,03.01.2020,12,06.01.2020,10,04300624,420,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,03.01.2020,18,04.01.2020,10,01100415,1450,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,03.01.2020,20,06.01.2020,9,08100415,984,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,03.01.2020,18,06.01.2020,9,02500833,490,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,14,03.01.2020,14,01100309,50,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
04.01.2020,03.01.2020,17,04.01.2020,13,07200410,391,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
06.01.2020,03.01.2020,17,06.01.2020,9,01200519,2249,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
06.01.2020,03.01.2020,18,04.01.2020,10,07300515,400,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,20,03.01.2020,20,01100416,1106,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,03.01.2020,9,03.01.2020,11,02500834,700,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,17,03.01.2020,18,03701556,1100,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,03.01.2020,8,03.01.2020,15,03200205,269,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,20,03.01.2020,20,08100418,1500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,03.01.2020,8,03.01.2020,10,05200629,699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,03.01.2020,19,05.01.2020,12,01200517,150,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,03.01.2020,7,03.01.2020,17,03300514,430,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,03.01.2020,16,03.01.2020,19,03701555,355,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,23,04.01.2020,8,05300737,462,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,03.01.2020,8,03.01.2020,19,04200309,412,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,03.01.2020,13,03.01.2020,20,05100316,579,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,03.01.2020,11,04.01.2020,13,09200512,799,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
26.02.2020,03.01.2020,16,04.01.2020,10,03501038,232,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,03.01.2020,20,04.01.2020,10,02300419,599,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,03.01.2020,6,03.01.2020,14,12200412,1100,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
23.01.2020,03.01.2020,9,03.01.2020,11,02500834,509,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,03.01.2020,10,03.01.2020,17,01200520,590,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,13,05.01.2020,2,06200422,1300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,21,05.01.2020,9,07300517,2099,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,19,05.01.2020,9,06300634,2699,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,16,04.01.2020,18,01300733,398,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,9,04.01.2020,11,02300419,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
06.01.2020,04.01.2020,16,06.01.2020,9,02200210,2999,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,12,06.01.2020,11,02500727,448,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,13,06.01.2020,9,05100314,289,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,19,04.01.2020,21,02200211,990,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,15,04.01.2020,17,02500831,525,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,04.01.2020,14,04.01.2020,15,09100101,519,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,19,04.01.2020,21,04300621,2500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,10,04.01.2020,20,01100206,699,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
10.01.2020,04.01.2020,16,04.01.2020,16,03400722,684,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,12,04.01.2020,13,11100307,1434,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,23,05.01.2020,2,02300314,330,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,04.01.2020,9,04.01.2020,13,08100417,479,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,22,05.01.2020,13,07400721,1200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,18,05.01.2020,14,02200210,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,19,05.01.2020,11,02200211,899,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,04.01.2020,17,06.01.2020,9,04501148,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,18,05.01.2020,2,03701555,999,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,04.01.2020,20,06.01.2020,17,04300622,500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,18,05.01.2020,14,02200210,610,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,14,05.01.2020,10,04501148,150,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,04.01.2020,22,06.01.2020,15,02400623,619,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,20,05.01.2020,13,07400721,1350,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,12,04.01.2020,20,02200208,590,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,04.01.2020,12,04.01.2020,21,10200524,445,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,04.01.2020,20,06.01.2020,10,02200207,725,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,18,05.01.2020,9,11400927,770,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,23,05.01.2020,12,07100101,523,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,16,05.01.2020,15,03701556,593,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
06.02.2020,04.01.2020,20,05.01.2020,10,02300314,328,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,12,05.01.2020,16,02400522,500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,04.01.2020,12,05.01.2020,16,09501939,1500,Nein,Rennrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
06.01.2020,05.01.2020,15,06.01.2020,7,02200211,440,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,05.01.2020,16,06.01.2020,8,02200208,621,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,05.01.2020,22,06.01.2020,9,01100414,455,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,05.01.2020,17,06.01.2020,8,04501148,745,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,05.01.2020,20,07.01.2020,9,01100414,940,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
27.01.2020,05.01.2020,10,05.01.2020,17,02100102,390,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,05.01.2020,12,05.01.2020,12,09200716,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,05.01.2020,0,05.01.2020,0,02100104,1150,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,05.01.2020,3,06.01.2020,8,02200207,1100,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,05.01.2020,16,06.01.2020,12,02200208,800,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,05.01.2020,15,05.01.2020,17,02200213,684,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,05.01.2020,14,05.01.2020,14,02300418,528,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.02.2020,05.01.2020,21,06.01.2020,8,04300414,900,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,05.01.2020,10,05.01.2020,18,03400826,599,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,05.01.2020,8,08.01.2020,8,03601141,4820,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,05.01.2020,11,08.01.2020,11,03601451,3924,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
08.01.2020,05.01.2020,19,05.01.2020,19,04501042,1131,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,05.01.2020,18,05.01.2020,18,02200210,1500,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
15.01.2020,06.01.2020,19,07.01.2020,15,09100101,229,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
10.01.2020,06.01.2020,8,07.01.2020,20,02200213,1178,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,06.01.2020,20,07.01.2020,14,07300517,849,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13.01.2020,06.01.2020,13,07.01.2020,9,04200308,217,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,06.01.2020,9,06.01.2020,15,04500938,200,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,06.01.2020,10,06.01.2020,19,08100206,446,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
27.01.2020,06.01.2020,10,06.01.2020,22,12400720,499,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.03.2020,06.01.2020,7,08.01.2020,7,11501238,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,06.01.2020,17,08.01.2020,15,01200519,397,Nein,Damenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
24.03.2020,06.01.2020,18,07.01.2020,18,11200515,899,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
15.01.2020,06.01.2020,19,07.01.2020,16,09100101,120,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,17,07.01.2020,5,01100205,687,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13.01.2020,06.01.2020,16,06.01.2020,16,03701556,1459,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
11.01.2020,06.01.2020,16,06.01.2020,19,11400927,1090,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,06.01.2020,9,06.01.2020,18,09200715,991,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2020,06.01.2020,16,06.01.2020,19,07501031,499,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,14,06.01.2020,17,04300623,1580,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,17,06.01.2020,18,02400520,1,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,13,06.01.2020,17,06200313,400,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,16,06.01.2020,18,03701555,950,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,12,06.01.2020,13,09100407,2570,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,8,06.01.2020,22,02500835,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13.01.2020,06.01.2020,12,06.01.2020,12,03601347,900,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,19,07.01.2020,9,02200209,899,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,06.01.2020,8,06.01.2020,16,09501736,1299,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,20,07.01.2020,9,01200627,416,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,19,07.01.2020,7,07300619,634,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
12.01.2020,06.01.2020,7,07.01.2020,19,06200421,250,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
19.01.2020,06.01.2020,21,07.01.2020,13,07300619,594,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,06.01.2020,19,07.01.2020,19,08100312,539,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,06.01.2020,15,07.01.2020,10,01200626,279,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,06.01.2020,11,07.01.2020,11,08100102,2799,Nein,Fahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
08.01.2020,06.01.2020,18,07.01.2020,8,04501045,200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,06.01.2020,20,07.01.2020,7,08100312,1570,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
11.01.2020,07.01.2020,18,08.01.2020,8,04501040,3238,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.01.2020,07.01.2020,16,08.01.2020,6,03400723,3400,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
