continent,country,year,life_expectancy,fertility,population
Africa,Benin,1975,46.93,6.93,3262959.0
Africa,Benin,1976,47.46,6.96,3345501.0
Africa,Benin,1977,47.96,6.98,3432262.0
Africa,Benin,1978,48.43,7.0,3523270.0
Africa,Benin,1979,48.88,7.02,3618509.0
Africa,Benin,1980,49.34,7.03,3718024.0
Africa,Benin,1981,49.84,7.03,3822206.0
Africa,Benin,1982,50.38,7.02,3931355.0
Africa,Benin,1983,50.97,7.01,4045352.0
Africa,Benin,1984,51.62,6.99,4163968.0
Africa,Benin,1985,52.33,6.97,4287263.0
Africa,Benin,1986,53.09,6.94,4414450.0
Africa,Benin,1987,53.89,6.9,4546136.0
Africa,Benin,1988,54.67,6.86,4685375.0
Africa,Benin,1989,55.42,6.81,4836240.0
Africa,Benin,1990,56.1,6.74,5001271.0
Africa,Benin,1991,56.3,6.68,5182525.0
Africa,Benin,1992,56.6,6.6,5378226.0
Africa,Benin,1993,56.9,6.53,5582420.0
Africa,Benin,1994,56.8,6.45,5786794.0
Africa,Benin,1995,56.7,6.37,5985658.0
Africa,Benin,1996,56.6,6.28,6176318.0
Africa,Benin,1997,56.9,6.21,6361301.0
Africa,Benin,1998,57.0,6.13,6546493.0
Africa,Benin,1999,57.1,6.05,6740491.0
Africa,Benin,2000,57.2,5.98,6949366.0
Africa,Benin,2001,57.4,5.9,7174911.0
Africa,Benin,2002,57.7,5.82,7414744.0
Africa,Benin,2003,57.9,5.73,7665681.0
Africa,Benin,2004,58.2,5.65,7922796.0
Africa,Benin,2005,58.6,5.55,8182362.0
Africa,Benin,2006,58.9,5.46,8443717.0
Africa,Benin,2007,59.2,5.37,8707637.0
Africa,Benin,2008,59.7,5.27,8973525.0
Africa,Benin,2009,60.4,5.18,9240982.0
Africa,Benin,2010,60.8,5.1,9509798.0
Africa,Benin,2011,61.1,5.01,9779391.0
Africa,Benin,2012,61.4,4.93,10049792.0
Africa,Benin,2013,61.7,4.85,10322232.0
Africa,Benin,2014,62.0,4.77,10598482.0
Africa,Benin,2015,62.3,4.69,10879829.0
Africa,Botswana,1950,46.68,6.47,412533.0
Africa,Botswana,1951,46.87,6.48,425270.0
Africa,Botswana,1952,47.27,6.49,437182.0
Africa,Botswana,1953,47.66,6.51,448437.0
Africa,Botswana,1954,48.05,6.52,459206.0
Africa,Botswana,1955,48.45,6.54,469671.0
Africa,Botswana,1956,48.84,6.55,480016.0
Africa,Botswana,1957,49.23,6.57,490433.0
Africa,Botswana,1958,49.61,6.58,501117.0
Africa,Botswana,1959,49.99,6.6,512256.0
Africa,Botswana,1960,50.34,6.62,524029.0
Africa,Botswana,1961,50.7,6.63,536576.0
Africa,Botswana,1962,51.02,6.65,549990.0
Africa,Botswana,1963,51.35,6.67,564316.0
Africa,Botswana,1964,51.67,6.68,579560.0
Africa,Botswana,1965,52.0,6.69,595741.0
Africa,Botswana,1966,52.36,6.7,612950.0
Africa,Botswana,1967,52.77,6.7,631276.0
Africa,Botswana,1968,53.23,6.69,650730.0
Africa,Botswana,1969,53.73,6.67,671305.0
Africa,Botswana,1970,54.3,6.64,693021.0
Africa,Botswana,1971,54.9,6.61,715811.0
Africa,Botswana,1972,55.54,6.58,739754.0
Africa,Botswana,1973,56.18,6.55,765177.0
Africa,Botswana,1974,56.82,6.51,792513.0
Africa,Botswana,1975,57.45,6.48,822029.0
Africa,Botswana,1976,58.07,6.44,853860.0
Africa,Botswana,1977,58.65,6.4,887793.0
Africa,Botswana,1978,59.21,6.35,923305.0
Africa,Botswana,1979,59.74,6.29,959666.0
Africa,Botswana,1980,60.24,6.22,996331.0
Africa,Botswana,1981,60.73,6.13,1033073.0
Africa,Botswana,1982,61.21,6.01,1069962.0
Africa,Botswana,1983,61.67,5.88,1107103.0
Africa,Botswana,1984,62.08,5.73,1144716.0
Africa,Botswana,1985,62.44,5.57,1182942.0
Africa,Botswana,1986,62.7,5.39,1221668.0
Africa,Botswana,1987,62.85,5.21,1260720.0
Africa,Botswana,1988,62.85,5.04,1300097.0
Africa,Botswana,1989,62.69,4.86,1339813.0
Africa,Botswana,1990,62.3,4.7,1379814.0
Africa,Botswana,1991,62.0,4.54,1420098.0
Africa,Botswana,1992,61.2,4.39,1460453.0
Africa,Botswana,1993,60.1,4.25,1500356.0
Africa,Botswana,1994,58.6,4.12,1539135.0
Africa,Botswana,1995,56.8,3.99,1576291.0
Africa,Botswana,1996,54.8,3.87,1611827.0
Africa,Botswana,1997,52.9,3.75,1645846.0
Africa,Botswana,1998,50.9,3.63,1678111.0
Africa,Botswana,1999,49.2,3.52,1708368.0
Africa,Botswana,2000,47.6,3.41,1736579.0
Africa,Botswana,2001,46.5,3.32,1762531.0
Africa,Botswana,2002,45.6,3.23,1786672.0
Africa,Botswana,2003,45.7,3.15,1810438.0
Africa,Botswana,2004,46.9,3.08,1835750.0
Africa,Botswana,2005,49.3,3.02,1864003.0
Africa,Botswana,2006,51.2,2.96,1895671.0
Africa,Botswana,2007,52.4,2.91,1930431.0
Africa,Botswana,2008,53.2,2.86,1967866.0
Africa,Botswana,2009,54.3,2.81,2007212.0
Africa,Botswana,2010,55.6,2.76,2047831.0
Africa,Botswana,2011,56.5,2.71,2089706.0
Africa,Botswana,2012,56.5,2.67,2132822.0
Africa,Botswana,2013,56.9,2.62,2176510.0
Africa,Botswana,2014,57.3,2.58,2219937.0
Africa,Botswana,2015,58.7,2.54,2262485.0
Africa,Burundi,1950,38.07,6.82,2308923.0
Africa,Burundi,1951,38.19,6.81,2359234.0
Africa,Burundi,1952,38.45,6.8,2403777.0
Africa,Burundi,1953,38.72,6.79,2445836.0
Africa,Burundi,1954,38.98,6.79,2487929.0
Africa,Burundi,1955,39.25,6.8,2531800.0
Africa,Burundi,1956,39.51,6.82,2578393.0
Africa,Burundi,1957,39.77,6.85,2627880.0
Africa,Burundi,1958,40.04,6.88,2679765.0
Africa,Burundi,1959,40.3,6.91,2733050.0
Africa,Burundi,1960,40.58,6.95,2786740.0
Africa,Burundi,1961,40.85,7.0,2840375.0
Africa,Burundi,1962,41.13,7.05,2894510.0
Africa,Burundi,1963,41.41,7.09,2950903.0
Africa,Burundi,1964,41.69,7.14,3011957.0
Africa,Burundi,1965,41.95,7.18,3079034.0
Africa,Burundi,1966,42.18,7.22,3153879.0
Africa,Burundi,1967,42.37,7.25,3235125.0
Africa,Burundi,1968,42.52,7.27,3317315.0
Africa,Burundi,1969,42.65,7.29,3392949.0
Africa,Burundi,1970,42.76,7.31,3457113.0
Africa,Burundi,1971,42.91,7.33,3507593.0
Africa,Burundi,1972,43.1,7.35,3547335.0
Africa,Burundi,1973,43.35,7.37,3582952.0
Africa,Burundi,1974,43.66,7.4,3623853.0
Africa,Burundi,1975,44.02,7.42,3676991.0
Africa,Burundi,1976,44.43,7.44,3744696.0
Africa,Burundi,1977,44.84,7.45,3825484.0
Africa,Burundi,1978,45.24,7.46,3917866.0
Africa,Burundi,1979,45.6,7.46,4018927.0
Africa,Burundi,1980,45.93,7.45,4126544.0
Africa,Burundi,1981,46.22,7.45,4239673.0
Africa,Burundi,1982,46.49,7.45,4359122.0
Africa,Burundi,1983,46.75,7.47,4486613.0
Africa,Burundi,1984,46.95,7.49,4624617.0
Africa,Burundi,1985,47.08,7.52,4774258.0
Africa,Burundi,1986,47.05,7.55,4936429.0
Africa,Burundi,1987,46.88,7.57,5108581.0
Africa,Burundi,1988,46.54,7.57,5284173.0
Africa,Burundi,1989,46.1,7.56,5454475.0
Africa,Burundi,1990,45.6,7.54,5613141.0
Africa,Burundi,1991,45.4,7.51,5759429.0
Africa,Burundi,1992,45.3,7.47,5895131.0
Africa,Burundi,1993,45.1,7.42,6019901.0
Africa,Burundi,1994,45.0,7.37,6134041.0
Africa,Burundi,1995,44.5,7.32,6239030.0
Africa,Burundi,1996,44.3,7.27,6333415.0
Africa,Burundi,1997,45.0,7.22,6420397.0
Africa,Burundi,1998,45.5,7.17,6511920.0
Africa,Burundi,1999,46.3,7.11,6623707.0
Africa,Burundi,2000,46.7,7.06,6767073.0
Africa,Burundi,2001,48.4,7.0,6946720.0
Africa,Burundi,2002,49.8,6.94,7159918.0
Africa,Burundi,2003,51.3,6.87,7401215.0
Africa,Burundi,2004,53.0,6.8,7661613.0
Africa,Burundi,2005,54.7,6.73,7934213.0
Africa,Burundi,2006,56.4,6.65,8218070.0
Africa,Burundi,2007,57.9,6.57,8514578.0
Africa,Burundi,2008,59.1,6.48,8821795.0
Africa,Burundi,2009,60.0,6.39,9137786.0
Africa,Burundi,2010,60.4,6.3,9461117.0
Africa,Burundi,2011,60.8,6.21,9790151.0
Africa,Burundi,2012,61.1,6.12,10124572.0
Africa,Burundi,2013,61.3,6.03,10465959.0
Africa,Burundi,2014,61.4,5.94,10816860.0
Africa,Burundi,2015,61.4,5.85,11178921.0
Africa,Cameroon,1950,38.83,5.54,4466498.0
Africa,Cameroon,1951,39.08,5.52,4544218.0
Africa,Cameroon,1952,39.51,5.49,4623471.0
Africa,Cameroon,1953,39.94,5.47,4704556.0
Africa,Cameroon,1954,40.41,5.47,4787832.0
Africa,Cameroon,1955,40.87,5.47,4873726.0
Africa,Cameroon,1956,41.37,5.49,4962726.0
Africa,Cameroon,1957,41.88,5.51,5055386.0
Africa,Cameroon,1958,42.39,5.55,5152307.0
Africa,Cameroon,1959,42.93,5.59,5254110.0
Africa,Cameroon,1960,43.46,5.65,5361367.0
Africa,Cameroon,1961,44.0,5.71,5474509.0
Africa,Cameroon,1962,44.53,5.77,5593768.0
Africa,Cameroon,1963,45.07,5.83,5719135.0
Africa,Cameroon,1964,45.59,5.89,5850454.0
Africa,Cameroon,1965,46.13,5.95,5987671.0
Africa,Cameroon,1966,46.67,6.01,6130990.0
Africa,Cameroon,1967,47.22,6.06,6280743.0
Africa,Cameroon,1968,47.79,6.11,6437157.0
Africa,Cameroon,1969,48.37,6.16,6600479.0
Africa,Cameroon,1970,48.97,6.21,6770967.0
Africa,Cameroon,1971,49.59,6.25,6948847.0
Africa,Cameroon,1972,50.22,6.29,7134374.0
Africa,Cameroon,1973,50.85,6.32,7327874.0
Africa,Cameroon,1974,51.49,6.36,7529704.0
Africa,Cameroon,1975,52.13,6.39,7740196.0
Africa,Cameroon,1976,52.74,6.43,7959500.0
Africa,Cameroon,1977,53.36,6.47,8187840.0
Africa,Cameroon,1978,53.95,6.52,8425707.0
Africa,Cameroon,1979,54.52,6.56,8673666.0
Africa,Cameroon,1980,55.06,6.61,8932121.0
Africa,Cameroon,1981,55.56,6.65,9201146.0
Africa,Cameroon,1982,56.03,6.68,9480638.0
Africa,Cameroon,1983,56.45,6.7,9770555.0
Africa,Cameroon,1984,56.83,6.71,10070779.0
Africa,Cameroon,1985,57.17,6.7,10381098.0
Africa,Cameroon,1986,57.48,6.67,10701458.0
Africa,Cameroon,1987,57.75,6.63,11031515.0
Africa,Cameroon,1988,58.01,6.57,11370394.0
Africa,Cameroon,1989,58.22,6.51,11716975.0
Africa,Cameroon,1990,58.4,6.43,12070359.0
Africa,Cameroon,1991,58.2,6.35,12430311.0
Africa,Cameroon,1992,57.9,6.26,12796739.0
Africa,Cameroon,1993,57.4,6.17,13169100.0
Africa,Cameroon,1994,57.0,6.08,13546823.0
Africa,Cameroon,1995,56.5,5.99,13929575.0
Africa,Cameroon,1996,56.2,5.9,14317191.0
Africa,Cameroon,1997,55.5,5.82,14709961.0
Africa,Cameroon,1998,55.0,5.75,15108630.0
Africa,Cameroon,1999,54.7,5.68,15514249.0
Africa,Cameroon,2000,54.3,5.62,15927713.0
Africa,Cameroon,2001,54.2,5.57,16349364.0
Africa,Cameroon,2002,54.2,5.52,16779434.0
Africa,Cameroon,2003,54.3,5.46,17218591.0
Africa,Cameroon,2004,54.4,5.41,17667576.0
Africa,Cameroon,2005,54.9,5.36,18126999.0
Africa,Cameroon,2006,55.4,5.3,18597109.0
Africa,Cameroon,2007,55.7,5.24,19078100.0
Africa,Cameroon,2008,56.6,5.17,19570418.0
Africa,Cameroon,2009,57.3,5.09,20074522.0
Africa,Cameroon,2010,57.8,5.02,20590666.0
Africa,Cameroon,2011,58.1,4.94,21119065.0
Africa,Cameroon,2012,58.5,4.86,21659488.0
Africa,Cameroon,2013,59.0,4.78,22211166.0
Africa,Cameroon,2014,59.1,4.7,22773014.0
Africa,Cameroon,2015,59.4,4.63,23344179.0
Africa,Cape Verde,1950,48.32,6.5,178066.0
Africa,Cape Verde,1951,48.45,6.51,186124.0
Africa,Cape Verde,1952,48.63,6.55,191521.0
Africa,Cape Verde,1953,48.81,6.58,194839.0
Africa,Cape Verde,1954,49.0,6.62,196632.0
Africa,Cape Verde,1955,49.19,6.66,197422.0
Africa,Cape Verde,1956,49.38,6.71,197702.0
Africa,Cape Verde,1957,49.57,6.75,197933.0
Africa,Cape Verde,1958,49.76,6.8,198541.0
Africa,Cape Verde,1959,49.95,6.84,199903.0
Africa,Cape Verde,1960,50.12,6.89,202316.0
Africa,Cape Verde,1961,50.27,6.92,205958.0
Africa,Cape Verde,1962,50.43,6.95,210866.0
Africa,Cape Verde,1963,50.59,6.98,216913.0
Africa,Cape Verde,1964,50.77,6.99,223854.0
Africa,Cape Verde,1965,51.0,6.99,231427.0
Africa,Cape Verde,1966,51.32,6.99,239765.0
Africa,Cape Verde,1967,51.75,6.98,248733.0
Africa,Cape Verde,1968,52.32,6.97,257478.0
Africa,Cape Verde,1969,53.0,6.95,264885.0
Africa,Cape Verde,1970,53.78,6.94,270197.0
Africa,Cape Verde,1971,54.65,6.91,273053.0
Africa,Cape Verde,1972,55.57,6.89,273788.0
Africa,Cape Verde,1973,56.5,6.86,273211.0
Africa,Cape Verde,1974,57.41,6.82,272509.0
Africa,Cape Verde,1975,58.3,6.77,272575.0
Africa,Cape Verde,1976,59.16,6.71,273625.0
Africa,Cape Verde,1977,60.0,6.65,275479.0
Africa,Cape Verde,1978,60.82,6.56,278152.0
Africa,Cape Verde,1979,61.62,6.47,281555.0
Africa,Cape Verde,1980,62.41,6.38,285599.0
Africa,Cape Verde,1981,63.19,6.27,290428.0
Africa,Cape Verde,1982,63.95,6.17,296071.0
Africa,Cape Verde,1983,64.69,6.08,302174.0
Africa,Cape Verde,1984,65.43,5.98,308251.0
Africa,Cape Verde,1985,66.12,5.88,313976.0
Africa,Cape Verde,1986,66.75,5.78,319161.0
Africa,Cape Verde,1987,67.33,5.68,323972.0
Africa,Cape Verde,1988,67.85,5.57,328861.0
Africa,Cape Verde,1989,68.3,5.44,334473.0
Africa,Cape Verde,1990,68.7,5.31,341256.0
Africa,Cape Verde,1991,68.6,5.16,349326.0
Africa,Cape Verde,1992,68.6,5.02,358473.0
Africa,Cape Verde,1993,68.4,4.86,368423.0
Africa,Cape Verde,1994,68.3,4.71,378763.0
Africa,Cape Verde,1995,68.3,4.55,389156.0
Africa,Cape Verde,1996,68.2,4.39,399508.0
Africa,Cape Verde,1997,68.2,4.22,409805.0
Africa,Cape Verde,1998,68.2,4.05,419884.0
Africa,Cape Verde,1999,68.2,3.88,429576.0
Africa,Cape Verde,2000,68.4,3.7,438737.0
Africa,Cape Verde,2001,68.6,3.53,447357.0
Africa,Cape Verde,2002,68.7,3.36,455396.0
Africa,Cape Verde,2003,68.9,3.19,462675.0
Africa,Cape Verde,2004,69.1,3.04,468985.0
Africa,Cape Verde,2005,69.3,2.9,474224.0
Africa,Cape Verde,2006,69.6,2.77,478265.0
Africa,Cape Verde,2007,69.6,2.66,481278.0
Africa,Cape Verde,2008,70.4,2.57,483824.0
Africa,Cape Verde,2009,70.7,2.49,486673.0
Africa,Cape Verde,2010,71.1,2.43,490379.0
Africa,Cape Verde,2011,71.4,2.38,495159.0
Africa,Cape Verde,2012,71.9,2.33,500870.0
Africa,Cape Verde,2013,72.3,2.29,507258.0
Africa,Cape Verde,2014,72.7,2.26,513906.0
Africa,Cape Verde,2015,72.9,2.22,520502.0
Africa,Central African Republic,1950,33.08,5.4,1326653.0
Africa,Central African Republic,1951,33.34,5.43,1339842.0
Africa,Central African Republic,1952,33.79,5.49,1353470.0
Africa,Central African Republic,1953,34.26,5.55,1367805.0
Africa,Central African Republic,1954,34.72,5.6,1383078.0
Africa,Central African Republic,1955,35.18,5.65,1399493.0
Africa,Central African Republic,1956,35.62,5.69,1417218.0
Africa,Central African Republic,1957,36.07,5.73,1436392.0
Africa,Central African Republic,1958,36.53,5.77,1457118.0
Africa,Central African Republic,1959,36.97,5.81,1479472.0
Africa,Central African Republic,1960,37.43,5.84,1503501.0
Africa,Central African Republic,1961,37.89,5.87,1529229.0
Africa,Central African Republic,1962,38.36,5.89,1556656.0
Africa,Central African Republic,1963,38.85,5.91,1585765.0
Africa,Central African Republic,1964,39.36,5.93,1616515.0
Africa,Central African Republic,1965,39.92,5.94,1648830.0
Africa,Central African Republic,1966,40.5,5.95,1682874.0
Africa,Central African Republic,1967,41.15,5.95,1718558.0
Africa,Central African Republic,1968,41.84,5.95,1755260.0
Africa,Central African Republic,1969,42.57,5.95,1792150.0
Africa,Central African Republic,1970,43.36,5.95,1828710.0
Africa,Central African Republic,1971,44.19,5.95,1864757.0
Africa,Central African Republic,1972,45.04,5.95,1900702.0
Africa,Central African Republic,1973,45.91,5.95,1937383.0
Africa,Central African Republic,1974,46.77,5.95,1975968.0
Africa,Central African Republic,1975,47.6,5.95,2017379.0
Africa,Central African Republic,1976,48.36,5.95,2061552.0
Africa,Central African Republic,1977,49.07,5.95,2108417.0
Africa,Central African Republic,1978,49.7,5.95,2158844.0
Africa,Central African Republic,1979,50.21,5.95,2213888.0
Africa,Central African Republic,1980,50.61,5.95,2274095.0
Africa,Central African Republic,1981,50.86,5.96,2340259.0
Africa,Central African Republic,1982,50.96,5.96,2411693.0
Africa,Central African Republic,1983,50.95,5.96,2485666.0
Africa,Central African Republic,1984,50.81,5.95,2558432.0
Africa,Central African Republic,1985,50.57,5.94,2627424.0
Africa,Central African Republic,1986,50.21,5.93,2691312.0
Africa,Central African Republic,1987,49.8,5.9,2751163.0
Africa,Central African Republic,1988,49.34,5.87,2809720.0
Africa,Central African Republic,1989,48.86,5.83,2871005.0
Africa,Central African Republic,1990,48.4,5.78,2937832.0
Africa,Central African Republic,1991,48.1,5.73,3010950.0
Africa,Central African Republic,1992,48.0,5.69,3089141.0
Africa,Central African Republic,1993,47.5,5.65,3170848.0
Africa,Central African Republic,1994,47.2,5.62,3253698.0
Africa,Central African Republic,1995,46.7,5.6,3335840.0
Africa,Central African Republic,1996,46.3,5.57,3417163.0
Africa,Central African Republic,1997,45.9,5.55,3497910.0
Africa,Central African Republic,1998,45.7,5.52,3577028.0
Africa,Central African Republic,1999,45.5,5.49,3653310.0
Africa,Central African Republic,2000,45.3,5.45,3726048.0
Africa,Central African Republic,2001,45.2,5.39,3794677.0
Africa,Central African Republic,2002,45.2,5.33,3859784.0
Africa,Central African Republic,2003,45.2,5.26,3923294.0
Africa,Central African Republic,2004,45.4,5.18,3987896.0
Africa,Central African Republic,2005,45.5,5.09,4055608.0
Africa,Central African Republic,2006,45.8,5.0,4127112.0
Africa,Central African Republic,2007,46.2,4.9,4202104.0
Africa,Central African Republic,2008,46.8,4.81,4280405.0
Africa,Central African Republic,2009,47.6,4.72,4361492.0
Africa,Central African Republic,2010,47.9,4.63,4444973.0
Africa,Central African Republic,2011,48.1,4.54,4530903.0
Africa,Central African Republic,2012,48.5,4.45,4619500.0
Africa,Central African Republic,2013,47.8,4.37,4710678.0
Africa,Central African Republic,2014,48.2,4.28,4804316.0
Africa,Central African Republic,2015,49.6,4.2,4900274.0
Africa,Chad,1950,37.02,6.06,2502314.0
Africa,Chad,1951,37.29,6.07,2544102.0
Africa,Chad,1952,37.69,6.09,2589278.0
Africa,Chad,1953,38.09,6.11,2636785.0
Africa,Chad,1954,38.49,6.13,2685842.0
